,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,3,2,3,3,3,2,3,1,1,2,3,2,2,2,2,2,3,1,0,1,2,3,2,1,3,0,2,3,3,2,1,1,1,2,1
1,1,2,1,2,3,1,2,1,1,2,1,2,3,2,3,2,3,2,2,1,3,2,2,2,1,2,2,1,2,2,2,2,2,2,3
2,0,2,3,3,2,2,2,2,3,3,3,0,0,0,3,1,2,1,3,2,1,3,2,2,2,3,1,2,2,3,3,1,1,2,3
3,2,2,1,2,1,2,2,1,2,2,3,2,2,1,1,2,3,2,3,3,2,1,1,2,2,1,2,2,2,3,3,2,2,1,1
4,1,1,2,1,3,3,2,2,2,3,2,3,2,1,2,1,2,1,2,1,2,1,2,2,1,1,1,2,2,2,3,1,1,2,2
5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,1,3,2,3,2,2,2,2,2,3,3,2,2,3,3,2,2,2
6,0,0,0,3,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,2,1,2,2,2,1,3,2,1,3,2,2,3,1,3,3
7,0,2,2,2,2,3,3,2,2,1,2,3,1,2,1,1,3,3,3,3,2,2,3,3,1,2,2,3,0,1,3,1,2,3,3
8,2,1,2,3,2,2,2,2,2,2,2,2,2,0,0,2,3,3,2,2,2,2,2,1,3,3,2,3,1,1,2,2,3,2,2
9,0,2,3,3,3,3,2,3,3,1,2,2,3,1,3,1,2,2,2,2,3,2,1,2,2,2,3,1,1,2,1,1,3,2,3
10,0,1,2,2,2,3,2,3,3,3,1,2,2,2,1,2,3,2,1,2,3,1,1,3,3,2,1,2,1,3,1,2,1,2,1
11,0,2,2,2,2,2,2,2,2,1,3,3,2,2,2,3,2,2,2,3,1,1,2,1,3,1,2,2,3,3,2,2,2,2,3
12,0,2,2,2,2,3,3,1,2,2,0,0,0,1,3,2,2,2,2,2,0,2,1,3,3,3,3,2,2,3,1,2,2,2,1
13,1,2,2,2,2,3,1,2,1,2,3,1,2,2,2,2,0,0,2,2,2,1,2,1,2,3,2,2,1,2,1,1,2,2,2
14,1,2,1,3,3,2,2,3,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,1,1,1,2,2,2
15,0,0,1,2,2,3,3,2,2,2,1,3,3,2,3,2,1,2,2,3,2,3,2,2,1,3,3,3,2,2,3,1,2,1,2
