,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,3,3,2,2,2,1,2,1,1,2,2,2,2,2,2,3,3,2,2,2,2,2,1,3,1,3,2,2,3,3,2
1,2,2,2,1,2,2,2,3,1,1,1,2,2,3,2,2,1,3,2,2,1,2,1,1,1,3,2,2,2,2,2
2,2,2,2,2,2,2,1,2,2,1,3,3,3,2,2,1,3,2,2,3,3,2,2,2,2,1,2,1,1,2,2
3,2,1,3,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,1,3,1,1,2,3,1,2,1,2,2,2
4,1,2,0,1,2,1,2,2,3,2,2,2,1,1,2,3,2,3,3,1,2,2,3,1,1,1,1,2,3,2,3
5,0,0,0,0,0,0,1,3,2,2,3,3,1,2,2,3,1,2,3,3,1,2,2,2,3,3,2,2,1,2,1
6,2,2,1,1,2,2,2,1,2,1,3,0,2,3,3,1,3,2,2,3,1,3,2,3,2,1,2,1,2,2,2
7,2,2,1,1,2,0,2,1,2,1,2,3,3,2,1,1,0,0,0,0,0,0,0,3,3,3,1,3,3,3,3
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,3,3,2,3,2,2,2,2,2,3,1
9,2,2,2,3,2,3,2,3,2,1,2,1,1,1,2,2,2,2,1,2,1,2,3,3,1,2,2,2,1,2,2
10,2,2,2,1,2,2,1,3,1,1,1,2,2,2,2,3,3,3,3,2,2,2,2,2,3,3,2,2,2,0,1
11,2,2,1,2,3,2,3,3,1,1,3,2,1,2,2,2,1,1,3,2,2,2,1,2,2,2,2,2,2,3,2
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,2,2,3,2,3,2,1,2,2
13,2,2,3,2,3,3,3,2,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,2,3,3,3,2,2,2,1
14,2,3,2,0,0,2,1,1,1,1,1,2,2,1,1,2,3,2,3,2,3,2,1,3,3,2,2,2,2,2,1
15,1,0,2,2,2,0,2,0,1,2,1,2,3,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,1,2
16,3,2,3,1,3,2,2,3,2,2,2,0,2,2,3,3,1,2,2,2,2,2,2,2,2,3,3,0,1,3,1
17,2,3,2,1,1,2,2,2,3,3,3,3,1,2,2,2,0,2,0,0,2,2,2,2,3,3,3,3,2,1,2
18,2,2,2,1,1,1,3,3,2,0,2,1,0,2,2,2,2,1,1,2,2,1,2,0,0,2,2,1,1,2,2
19,2,2,2,2,1,3,3,2,2,1,2,2,2,2,1,2,3,3,2,3,2,1,0,2,3,1,2,1,1,2,1
20,2,2,1,3,2,1,2,2,1,1,2,3,2,3,2,2,3,2,2,2,1,3,3,1,1,2,3,2,2,2,1
21,1,2,2,1,2,1,1,1,1,0,2,3,2,2,1,1,3,2,3,2,2,2,1,2,2,2,0,2,2,2,0
22,2,1,1,1,2,2,3,2,3,2,3,1,2,2,2,2,2,2,2,2,1,2,2,1,1,0,0,0,2,2,2
23,2,2,2,2,2,2,2,3,2,2,1,2,3,1,2,2,2,0,2,1,3,2,2,0,2,2,3,2,2,2,1
24,3,2,2,1,0,3,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,3,3,2,2,0,1,2,2
25,1,3,2,2,3,2,3,3,2,1,1,1,2,2,3,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,1
26,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,2,2,2,2,2,3,2,2,1,3,1,2,1,2,1
27,3,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,0,2,1
28,2,2,2,2,1,1,2,0,1,1,2,2,0,2,1,2,2,1,1,2,2,2,2,2,2,1,2,1,3,1,2
29,2,2,2,2,2,3,3,1,2,2,2,3,2,2,3,2,3,1,3,2,2,2,2,1,2,2,2,3,1,1,2
30,2,2,1,1,2,2,0,0,0,0,0,0,0,0,2,2,1,2,2,2,2,2,1,2,3,2,3,2,2,1,2
31,2,2,2,1,1,2,2,2,2,2,3,1,1,2,3,3,3,2,2,1,1,1,2,2,3,1,1,2,3,2,2
32,2,2,2,1,0,3,3,2,2,1,2,1,3,2,2,1,1,1,3,3,2,2,2,2,2,2,3,3,3,2,2
