,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,1,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,1,2,1,2,3,3,2
1,0,0,2,2,2,3,2,3,3,3,1,3,2,3,2,3,1,0,1,3,1,2,2,3,2,2,1,2,2,3,2
2,2,3,1,2,1,2,2,3,3,2,0,2,2,3,2,2,0,2,2,2,1,3,3,2,2,2,2,1,2,1,3
3,3,1,2,2,3,1,3,1,2,2,2,1,2,3,1,1,1,3,2,3,2,1,2,1,2,3,1,2,2,1,2
4,2,2,2,2,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,3,1,1,2
5,2,3,1,2,2,3,3,2,1,1,3,1,1,2,3,2,3,3,3,1,1,3,3,3,1,3,1,2,3,2,2
6,2,1,1,2,2,2,1,2,2,1,1,2,2,3,2,3,2,1,1,2,2,1,1,2,0,2,3,1,2,3,2
7,2,1,2,2,3,1,3,2,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,2,1,3,2,2,3,2,2
8,3,2,3,3,3,3,2,2,3,2,1,1,1,0,3,1,2,2,1,3,2,1,2,2,1,3,3,2,1,2,1
9,2,1,2,2,2,3,1,2,2,1,2,3,1,2,2,2,2,3,2,3,3,2,2,2,0,2,2,2,1,2,1
10,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2
11,2,2,1,2,1,2,2,3,3,1,3,1,3,3,2,3,2,2,3,3,1,2,2,1,2,2,2,3,2,2,2
12,0,2,3,2,3,2,2,2,2,3,3,2,2,2,1,1,3,1,2,3,2,3,2,2,1,2,2,3,2,2,2
13,0,2,2,2,2,1,1,2,2,2,1,1,2,1,3,3,2,2,0,2,2,2,2,2,2,3,2,2,2,3,2
14,0,0,0,0,0,0,0,0,2,2,3,3,2,1,2,3,3,3,3,3,2,2,3,2,2,3,1,1,2,1,3
15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,2,3,3,2,3,3,3,3,3,3
16,0,0,0,3,2,2,1,2,2,2,3,3,1,2,2,2,3,2,3,2,2,2,2,1,3,1,2,2,1,2,2
17,3,2,2,1,2,2,2,3,0,1,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,1,2,2,2,2,2,3,2,3
19,2,2,1,3,3,2,2,2,3,3,1,1,2,1,2,2,2,2,2,1,2,1,3,3,2,1,1,3,2,2,2
20,1,2,3,2,2,2,2,1,2,3,2,1,2,2,3,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2
21,1,0,2,2,2,2,2,2,2,2,1,1,2,3,1,3,1,1,2,2,2,1,2,1,2,2,1,3,3,3,2
22,3,2,2,1,3,2,2,2,2,1,2,3,2,0,0,1,2,2,3,3,2,1,2,2,3,3,3,2,1,2,2
23,2,1,1,2,2,1,1,1,3,2,2,2,2,3,0,0,0,0,0,0,0,2,1,2,3,2,2,2,3,2,1
24,2,2,2,1,2,2,2,2,2,2,2,3,3,1,2,1,2,3,2,3,1,1,1,2,0,0,2,1,2,2,2
25,2,3,3,3,2,3,2,2,3,1,1,2,1,2,2,3,3,2,3,1,3,3,2,2,2,3,3,1,2,2,3
26,0,1,2,2,2,2,2,2,2,1,3,3,3,2,3,2,3,3,1,2,1,2,2,2,1,2,2,2,2,1,2
27,2,1,2,2,3,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,0,3,2,2,2,3,3,2
28,1,2,2,3,3,1,1,1,0,0,0,0,2,2,2,1,2,2,2,3,2,2,1,2,2,2,2,2,2,3,1
29,0,2,3,3,3,3,3,3,3,2,2,2,2,1,1,2,1,1,2,3,2,2,1,1,2,2,2,3,3,3,2
30,2,3,2,2,2,0,2,1,2,2,1,3,2,2,1,3,3,1,1,3,3,3,2,2,3,2,1,3,2,2,2
31,2,2,1,1,0,0,1,1,2,2,2,3,3,2,2,2,1,0,1,2,2,2,1,3,2,2,2,1,2,2,2
32,1,2,2,3,2,1,2,2,2,2,2,2,3,3,2,2,2,1,1,3,3,1,2,2,1,0,2,2,1,2,2
33,0,3,3,2,2,2,0,2,2,3,2,3,3,1,3,3,2,2,3,2,2,3,2,3,3,2,2,2,2,2,0
34,0,0,2,2,3,1,2,2,3,2,2,2,3,2,2,3,3,2,2,3,1,3,2,2,1,2,2,2,3,1,3
35,2,1,3,2,3,1,2,1,2,2,1,2,1,1,1,2,1,1,2,3,0,2,2,2,3,1,3,3,3,3,3
36,3,2,2,3,3,1,2,3,3,3,3,1,2,1,1,2,2,2,2,3,3,1,1,2,3,2,3,3,2,1,0
37,2,0,1,2,2,2,3,3,2,3,3,2,1,1,2,3,2,2,2,3,1,3,3,1,3,2,2,0,2,1,2
38,0,0,0,2,2,2,2,2,3,2,2,2,2,3,1,3,3,2,3,3,3,1,2,2,2,3,3,3,3,0,0
39,2,3,3,2,2,2,2,3,1,1,2,2,1,3,2,2,2,1,2,2,2,1,1,3,3,0,2,2,2,2,2
40,2,2,1,1,2,3,1,0,3,2,1,2,2,2,2,1,3,2,3,2,1,2,2,2,3,3,2,0,0,0,0
41,3,3,3,2,2,2,2,1,2,2,3,3,1,2,3,2,2,3,1,3,3,1,2,2,3,3,2,3,0,2,0
42,3,2,1,2,1,1,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,3,3,3,3,2,2,2,0,3,2
43,0,0,2,1,2,1,1,1,1,2,3,3,3,2,3,2,2,1,2,2,2,2,2,3,2,2,2,2,2,1,2
44,1,2,1,3,2,2,3,3,1,3,1,0,1,2,2,3,1,2,2,2,1,2,2,2,3,3,3,1,1,2,2
45,2,2,2,1,3,0,3,2,2,0,0,3,3,2,2,3,2,1,2,2,3,1,2,2,3,3,1,2,2,2,2
46,1,2,1,2,1,3,2,2,3,3,2,2,2,2,2,3,3,1,2,1,3,3,2,3,3,3,2,2,2,2,2
47,2,2,2,3,2,2,3,3,1,3,3,2,3,3,2,2,1,2,3,2,1,2,3,2,2,1,3,0,2,3,2
48,3,2,3,3,2,3,2,3,3,2,1,1,2,2,2,2,2,2,1,2,2,3,2,1,1,1,2,2,3,3,1
49,2,2,3,1,1,0,0,0,1,2,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,1,3,3,2,3,2,3,2,2,2,1,1
