,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2,2,2,3,3,2,0,3,2,1,2,2,2,1,3,3,2,3,3,2,2,3,3,3,2,2,2,3,2,3,2
1,0,0,0,0,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,3,2,1
2,2,3,3,2,2,1,2,3,2,3,1,2,1,3,2,1,3,3,2,1,2,2,3,3,3,2,2,3,3,1,0
3,0,0,0,0,2,2,2,3,3,3,3,2,2,3,2,3,3,2,3,1,2,3,2,2,1,1,2,2,3,1,2
4,2,3,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2,2,1,2,3,1,2
5,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,3,3,2,3,3,2,1,3,3,3,3,3,2,3,3,2
6,1,3,2,0,2,2,3,3,2,2,1,3,3,2,2,3,2,0,3,2,3,3,2,1,2,3,1,2,3,1,1
7,0,0,0,0,0,0,0,0,0,2,2,3,3,3,1,2,3,2,2,3,2,2,3,2,3,3,2,2,2,2,3
8,1,3,3,2,2,2,1,1,2,2,3,2,3,2,2,2,3,2,2,1,3,2,2,2,2,2,3,3,3,2,2
9,2,3,3,3,2,3,1,2,3,1,3,2,1,3,2,3,2,3,2,3,3,3,2,3,2,3,3,2,3,3,3
10,2,3,1,2,3,2,2,2,1,2,2,2,3,2,3,2,2,1,1,2,2,1,1,3,2,2,1,3,2,2,2
11,2,2,2,2,2,3,3,3,2,3,3,2,3,2,2,2,1,2,2,3,2,3,2,2,2,2,2,2,2,0,1
12,2,2,2,2,3,3,2,1,3,3,2,2,2,2,2,3,3,2,2,2,1,2,3,2,3,3,1,3,0,1,3
13,2,2,2,3,2,3,2,3,3,1,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,3,2,3,2,2,1
14,1,3,2,2,2,1,3,1,3,2,1,1,2,1,3,2,1,2,2,3,3,0,1,1,1,2,2,2,2,3,1
15,2,2,2,3,2,3,3,3,2,3,1,1,3,3,3,2,1,3,3,2,3,2,1,3,2,3,3,2,1,2,3
16,2,3,2,2,2,3,2,2,3,2,1,2,2,1,2,2,3,1,0,3,2,2,3,2,3,2,2,2,1,2,2
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,2,2,3,2,2,2,1,3,2,3,3
18,2,2,3,3,2,3,3,2,2,2,1,3,3,2,2,2,3,1,2,3,2,0,0,0,0,0,0,0,0,2,3
19,2,2,3,1,2,2,3,3,2,2,2,2,1,1,2,1,1,2,2,1,3,1,1,1,2,3,3,2,2,2,3
20,1,2,2,2,2,3,2,1,2,1,3,2,1,1,2,2,2,2,2,2,3,2,1,3,0,2,3,2,1,0,2
21,3,3,1,3,2,2,2,2,3,3,3,1,2,2,2,3,2,1,0,2,2,3,3,3,3,2,3,1,2,2,2
22,2,3,1,2,2,2,3,2,3,3,2,0,2,2,2,1,2,1,2,2,2,2,3,2,3,2,2,3,2,0,1
23,2,2,3,2,3,2,1,1,3,2,3,3,2,1,3,3,2,1,2,3,2,3,2,2,3,2,2,3,3,2,3
24,3,3,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,3,2,2,2,3,2,2,0,1,2,1,0
25,2,2,3,3,2,2,2,1,3,3,2,2,2,2,0,2,2,2,2,1,2,1,2,3,2,3,3,2,1,2,2
26,3,3,2,3,3,2,2,2,3,1,1,2,2,1,2,2,1,1,2,1,3,3,2,2,3,3,2,3,3,3,3
27,1,2,1,2,3,3,1,1,2,1,2,1,3,1,3,3,2,2,1,1,1,2,1,3,2,2,2,2,3,3,3
28,0,2,2,2,3,2,1,3,2,3,2,2,2,2,3,3,2,2,2,3,2,0,0,0,0,0,2,1,0,2,3
29,3,1,2,2,2,1,3,1,2,1,2,2,2,2,2,2,3,1,1,2,3,0,3,2,2,3,2,2,1,2,3
30,1,2,1,2,2,2,1,3,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2
31,1,2,2,2,2,2,2,2,2,1,3,0,2,1,3,3,1,2,2,2,2,3,3,0,0,2,3,2,2,2,1
32,1,3,2,1,1,2,3,2,3,2,2,2,2,2,2,1,1,2,3,3,2,2,1,3,2,1,0,1,3,2,2
33,3,3,2,2,3,2,3,2,3,2,2,2,3,3,1,3,3,2,3,2,2,2,1,2,2,3,3,3,2,2,0
34,3,3,2,0,2,2,3,2,3,3,1,2,3,1,2,2,3,2,3,3,3,2,1,2,2,2,1,1,2,2,1
35,3,2,3,2,2,2,2,3,3,3,3,3,2,3,1,1,2,2,1,1,2,3,3,3,3,2,2,1,3,2,2
36,3,2,2,3,2,2,1,2,2,2,3,3,2,2,3,2,3,3,3,1,0,0,0,2,2,2,2,2,0,1,1
37,1,2,2,1,3,3,2,2,1,3,2,3,3,2,3,2,3,3,3,2,2,2,1,1,3,3,2,2,1,2,2
38,0,0,2,2,2,3,3,2,2,0,1,3,2,3,2,2,2,1,2,2,2,3,2,1,3,3,3,0,0,0,0
39,0,2,2,2,3,3,3,1,3,3,2,1,2,2,2,3,3,1,3,3,2,1,3,1,2,1,2,3,2,1,3
