source,target
0,1523
0,1554
0,1564
0,12968
0,13010
0,13022
0,17052
0,17089
0,17100
1,1522
1,1551
1,12967
1,13006
1,17051
1,17085
2,1522
2,1532
2,1534
2,12967
2,12981
2,12984
2,17051
2,17063
2,17065
3,1520
3,1523
3,1554
3,12965
3,12968
3,13010
3,17049
3,17052
3,17089
4,1522
4,1554
4,1564
4,12967
4,13010
4,13022
4,17051
4,17089
4,17100
5,1525
5,1530
5,1547
5,12970
5,12979
5,13002
5,17054
5,17061
5,17081
6,1524
6,1535
6,1566
6,12969
6,12985
6,13024
6,17053
6,17067
6,17102
7,1532
7,1548
7,12981
7,13003
7,17063
7,17082
8,1553
8,1571
8,13008
8,13029
8,17087
8,17107
9,1553
9,1556
9,13008
9,13012
9,17087
9,17091
10,1532
10,1548
10,12981
10,13003
10,17063
10,17082
11,1546
11,1548
11,1567
11,12999
11,13003
11,13025
11,17080
11,17082
11,17103
12,1524
12,1531
12,12969
12,12980
12,13019
12,17053
12,17062
12,17096
13,1530
13,12979
13,13001
13,17061
14,1521
14,1526
14,1528
14,12966
14,12972
14,12976
14,17050
14,17056
14,17059
15,1554
15,1570
15,1571
15,13010
15,13028
15,13029
15,17089
15,17106
15,17107
16,1521
16,1550
16,1561
16,12966
16,13005
16,13018
16,17050
16,17084
16,17095
17,1525
17,1544
17,1566
17,12970
17,12997
17,13024
17,17054
17,17078
17,17102
18,1544
18,1561
18,1567
18,12997
18,13018
18,13025
18,17078
18,17095
18,17103
19,1543
19,1549
19,1557
19,12996
19,13004
19,13013
19,17077
19,17083
19,17092
20,1545
20,1565
20,12998
20,13023
20,17079
20,17101
22,1559
22,1561
22,1563
22,13015
22,13018
22,13021
22,17094
22,17095
22,17099
24,1537
24,1546
24,1549
24,1557
24,12987
24,12999
24,13004
24,13013
24,17069
24,17080
24,17083
24,17092
25,1529
25,1543
25,1548
25,1567
25,12978
25,12996
25,13003
25,13025
25,17060
25,17077
25,17082
25,17103
26,1524
26,1525
26,1544
26,12969
26,12970
26,12997
26,17053
26,17054
26,17078
27,1529
27,1546
27,1567
27,12978
27,12999
27,13025
27,17060
27,17080
27,17103
28,1543
28,1546
28,1557
28,1567
28,12996
28,12999
28,13013
28,13025
28,17077
28,17080
28,17092
28,17103
29,1526
29,1532
29,1534
29,1561
29,12972
29,12981
29,12984
29,13018
29,17056
29,17063
29,17065
29,17095
30,1520
30,1522
30,1534
30,1554
30,12965
30,12967
30,12984
30,13010
30,17049
30,17051
30,17065
30,17089
31,1532
31,1557
31,1558
31,1564
31,12981
31,13013
31,13014
31,13022
31,17063
31,17092
31,17093
31,17100
32,1554
32,1556
32,12971
32,12975
32,13010
32,13012
32,17055
32,17058
32,17089
32,17091
33,1553
33,1556
33,12971
33,13008
33,13012
33,17055
33,17087
33,17091
34,1518
34,1523
34,1551
34,1553
34,12964
34,12968
34,13006
34,13008
34,17047
34,17052
34,17085
34,17087
35,1545
35,1559
35,1563
35,12998
35,13015
35,13021
35,17079
35,17094
35,17099
36,1553
36,12971
36,12975
36,13008
36,17055
36,17058
36,17087
37,1543
37,1549
37,1552
37,1558
37,12996
37,13004
37,13007
37,13014
37,17077
37,17083
37,17086
37,17093
38,1552
38,1557
38,1564
38,13007
38,13013
38,13022
38,17086
38,17092
38,17100
39,1545
39,1555
39,1563
39,12998
39,13011
39,13021
39,17079
39,17090
39,17099
40,1534
40,1536
40,1544
40,1550
40,12984
40,12986
40,12997
40,13005
40,17065
40,17068
40,17078
40,17084
41,1555
41,1563
41,13011
41,13021
41,17090
41,17099
42,1540
42,1555
42,1559
42,1562
42,12991
42,13011
42,13015
42,13020
42,17073
42,17090
42,17094
42,17098
43,1523
43,1532
43,1552
43,1558
43,12968
43,12981
43,13007
43,13014
43,17052
43,17063
43,17086
43,17093
44,1538
44,1544
44,1545
44,1566
44,12988
44,12997
44,12998
44,13024
44,17070
44,17078
44,17079
44,17102
45,1525
45,1544
45,1547
45,1565
45,12970
45,12997
45,13002
45,13023
45,17054
45,17078
45,17081
45,17101
46,1529
46,1546
46,1548
46,1549
46,12978
46,12999
46,13003
46,13004
46,17060
46,17080
46,17082
46,17083
47,1523
47,1532
47,1552
47,1564
47,12968
47,12981
47,13007
47,13022
47,17052
47,17063
47,17086
47,17100
48,1552
48,1558
48,1564
48,12975
48,13007
48,13014
48,13022
48,17058
48,17086
48,17093
48,17100
49,1533
49,1551
49,1554
49,1571
49,12982
49,13006
49,13010
49,13029
49,17064
49,17085
49,17089
49,17107
50,1533
50,1554
50,1570
50,12982
50,13010
50,13028
50,17064
50,17089
50,17106
51,5293
51,5296
51,10409
51,10412
51,16124
51,16127
52,5268
52,5304
52,5347
52,10385
52,10420
52,10457
52,16103
52,16135
52,16167
53,5302
53,5322
53,5338
53,10418
53,10436
53,10448
53,16133
53,16149
53,16159
54,5274
54,5346
54,10391
54,10456
54,16107
54,16166
55,5261
55,5343
55,10377
55,10453
55,16163
56,5251
56,5337
56,5362
56,10367
56,10447
56,10471
56,16089
56,16158
56,16179
57,5253
57,5259
57,5281
57,10369
57,10375
57,10399
57,16091
57,16095
57,16114
58,5253
58,5259
58,5260
58,10369
58,10375
58,10376
58,16091
58,16095
58,16096
59,5244
59,5269
59,5330
59,10359
59,10386
59,10443
59,16082
59,16104
59,16155
60,5236
60,5243
60,5340
60,10348
60,10358
60,10450
60,16075
60,16081
60,16161
61,5253
61,5281
61,5328
61,10369
61,10399
61,10441
61,16091
61,16114
61,16154
62,5247
62,5265
62,5316
62,10363
62,10382
62,10431
62,16085
62,16100
62,16144
63,5246
63,5286
63,5357
63,10362
63,10404
63,10466
63,16084
63,16119
63,16175
64,5301
64,5304
64,5347
64,10417
64,10420
64,10457
64,16132
64,16135
64,16167
65,5295
65,5312
65,5344
65,10411
65,10427
65,10454
65,16126
65,16141
65,16164
66,5236
66,5279
66,5340
66,10348
66,10397
66,10450
66,16075
66,16112
66,16161
67,5308
67,5313
67,5358
67,10424
67,10428
67,10467
67,16138
67,16142
67,16176
68,5257
68,5326
68,5340
68,10373
68,10440
68,10450
68,16093
68,16153
68,16161
69,5239
69,5240
69,5279
69,10352
69,10355
69,10397
69,16077
69,16078
69,16112
70,5240
70,5241
70,5365
70,10355
70,10356
70,10474
70,16078
70,16079
70,16181
71,5276
71,5311
71,5358
71,10393
71,10426
71,10467
71,16109
71,16140
71,16176
72,5246
72,5266
72,5351
72,10362
72,10383
72,10460
72,16084
72,16101
72,16170
73,5265
73,5312
73,5352
73,10382
73,10427
73,10461
73,16100
73,16141
73,16171
74,5232
74,5301
74,5349
74,10344
74,10417
74,10459
74,16071
74,16132
74,16169
75,5243
75,5330
75,5361
75,10358
75,10443
75,10470
75,16081
75,16155
75,16178
76,5255
76,5271
76,5291
76,10371
76,10388
76,10407
76,16122
77,5274
77,5346
77,5365
77,10391
77,10456
77,10474
77,16107
77,16166
77,16181
78,5273
78,5365
78,10390
78,10474
78,16106
78,16181
79,5264
79,5315
79,5323
79,10380
79,10430
79,10437
79,16099
79,16150
80,5262
80,5311
80,5349
80,10378
80,10426
80,10459
80,16097
80,16140
80,16169
81,5241
81,5251
81,5259
81,10356
81,10367
81,10375
81,16079
81,16089
81,16095
82,5311
82,5314
82,5324
82,10426
82,10429
82,10438
82,16140
82,16143
82,16151
83,5276
83,5339
83,5349
83,10393
83,10449
83,10459
83,16109
83,16160
83,16169
84,5269
84,5361
84,10386
84,10470
84,16104
84,16178
85,5285
85,5308
85,5360
85,10403
85,10424
85,10469
85,16118
85,16138
85,16177
86,5284
86,5308
86,5360
86,10402
86,10424
86,10469
86,16117
86,16138
86,16177
87,5247
87,5306
87,5357
87,10363
87,10422
87,10466
87,16085
87,16137
87,16175
88,5308
88,5334
88,5360
88,10424
88,10446
88,10469
88,16138
88,16157
88,16177
89,5255
89,5270
89,10371
89,10387
89,16105
90,5231
90,5336
90,10343
90,16070
91,5250
91,5282
91,5312
91,5320
91,5339
91,10366
91,10400
91,10427
91,10434
91,10449
91,16088
91,16115
91,16141
91,16147
91,16160
92,5270
92,5338
92,10387
92,10448
92,16105
92,16159
93,5298
93,5344
93,5351
93,5352
93,10414
93,10454
93,10460
93,10461
93,16129
93,16164
93,16170
93,16171
94,5297
94,5313
94,5351
94,5352
94,10413
94,10428
94,10460
94,10461
94,16128
94,16142
94,16170
94,16171
95,5300
95,5313
95,5353
95,5354
95,10416
95,10428
95,10462
95,10463
95,16131
95,16142
95,16172
95,16173
96,5299
96,5308
96,5353
96,5354
96,10415
96,10424
96,10462
96,10463
96,16130
96,16138
96,16172
96,16173
97,5249
97,5268
97,5334
97,5349
97,10365
97,10385
97,10446
97,10459
97,16087
97,16103
97,16157
97,16169
98,5233
98,5303
98,5338
98,10345
98,10419
98,10448
98,16072
98,16134
98,16159
99,5233
99,5302
99,5341
99,10345
99,10418
99,10451
99,16072
99,16133
99,16162
100,5232
100,5249
100,5268
100,5347
100,10344
100,10365
100,10385
100,10457
100,16071
100,16087
100,16103
100,16167
101,5238
101,5316
101,5353
101,5354
101,10351
101,10431
101,10462
101,10463
101,16144
101,16172
101,16173
102,5246
102,5286
102,5316
102,5350
102,10362
102,10404
102,10431
102,16084
102,16119
102,16144
103,5284
103,5285
103,5358
103,5360
103,10402
103,10403
103,10467
103,10469
103,16117
103,16118
103,16176
103,16177
104,5312
104,5313
104,5314
104,5324
104,10427
104,10428
104,10429
104,10438
104,16141
104,16142
104,16143
104,16151
105,5311
105,5313
105,5314
105,5344
105,10426
105,10428
105,10429
105,10454
105,16140
105,16142
105,16143
105,16164
106,5311
106,5312
106,5314
106,5345
106,10426
106,10427
106,10429
106,10455
106,16140
106,16141
106,16143
106,16165
107,5311
107,5312
107,5313
107,5324
107,10426
107,10427
107,10428
107,10438
107,16140
107,16141
107,16142
107,16151
108,5246
108,5247
108,5305
108,5306
108,10362
108,10363
108,10421
108,10422
108,16084
108,16085
108,16136
108,16137
109,5309
109,5359
109,10468
109,16139
110,5250
110,5295
110,5312
110,5339
110,10366
110,10411
110,10427
110,10449
110,16088
110,16126
110,16141
110,16160
111,5242
111,5257
111,5340
111,10357
111,10373
111,10381
111,10450
111,16080
111,16093
111,16161
112,5233
112,5338
112,5364
112,10345
112,10448
112,10473
112,16072
112,16159
112,16180
113,5281
113,5325
113,5326
113,5363
113,10399
113,10439
113,10440
113,10472
113,16114
113,16152
113,16153
114,5280
114,5311
114,5314
114,5349
114,10398
114,10426
114,10429
114,10459
114,16113
114,16140
114,16143
114,16169
115,5257
115,5264
115,5323
115,5326
115,10373
115,10380
115,10437
115,10440
115,16093
115,16099
115,16150
115,16153
116,5279
116,5323
116,5325
116,5363
116,10397
116,10437
116,10439
116,10472
116,16112
116,16150
116,16152
117,5243
117,5307
117,10358
117,10423
117,16081
118,5273
118,5274
118,5346
118,10390
118,10391
118,10456
118,16106
118,16107
118,16166
119,5301
119,5346
119,5349
119,5360
119,10417
119,10456
119,10459
119,10469
