user_id,completion_percentage,gender,AGE
6249,21,0.0,0.0
6920,16,0.0,0.0
6914,59,0.0,22.0
8520,72,1.0,0.0
9346,72,0.0,23.0
10213,69,0.0,20.0
10465,69,0.0,30.0
13380,64,0.0,26.0
13632,31,0.0,0.0
14210,38,0.0,21.0
18566,64,1.0,25.0
20235,81,1.0,22.0
20742,47,1.0,22.0
21201,66,1.0,23.0
22809,76,1.0,21.0
23606,67,1.0,21.0
28203,60,1.0,0.0
28206,71,1.0,23.0
28921,71,1.0,21.0
28960,71,0.0,23.0
29491,48,1.0,20.0
29848,71,0.0,19.0
31991,12,1.0,0.0
32429,78,0.0,0.0
33622,48,0.0,17.0
33977,62,0.0,0.0
35386,67,0.0,25.0
35549,31,1.0,0.0
36997,55,1.0,24.0
38705,71,1.0,20.0
42026,33,0.0,19.0
42548,52,0.0,21.0
42787,59,0.0,18.0
42973,67,1.0,21.0
43137,66,1.0,24.0
44872,74,0.0,0.0
45174,62,0.0,0.0
45237,64,0.0,21.0
46406,66,0.0,20.0
46407,60,0.0,21.0
46571,21,0.0,0.0
47885,66,1.0,19.0
49160,12,1.0,21.0
49584,78,0.0,17.0
49594,12,0.0,23.0
50877,66,1.0,19.0
51474,71,1.0,23.0
51628,62,0.0,0.0
52607,62,0.0,21.0
54201,31,0.0,22.0
55675,71,0.0,15.0
55715,71,1.0,0.0
55626,12,0.0,0.0
56433,31,1.0,20.0
56687,64,0.0,20.0
56590,57,1.0,20.0
58063,21,0.0,21.0
58880,69,0.0,23.0
59558,74,1.0,18.0
61349,91,0.0,16.0
62256,69,0.0,14.0
63527,48,1.0,23.0
63686,74,0.0,21.0
63700,62,0.0,20.0
63957,66,1.0,0.0
64139,62,1.0,20.0
64181,71,0.0,19.0
64196,52,0.0,0.0
64957,12,0.0,24.0
66296,41,1.0,0.0
69047,62,1.0,0.0
70711,64,1.0,0.0
70837,59,1.0,11.0
70871,64,1.0,15.0
71195,24,0.0,0.0
71318,16,1.0,22.0
72071,53,1.0,0.0
72129,62,1.0,20.0
72626,55,0.0,0.0
72594,71,1.0,19.0
72919,62,1.0,0.0
72926,62,1.0,16.0
75385,88,1.0,19.0
75474,78,1.0,18.0
75740,69,0.0,0.0
77717,69,1.0,0.0
77665,57,1.0,20.0
78067,78,1.0,21.0
78321,71,1.0,0.0
78575,71,1.0,20.0
79036,53,1.0,27.0
79792,12,0.0,22.0
80173,12,0.0,20.0
81894,28,0.0,23.0
82261,74,0.0,1.0
82138,12,1.0,0.0
82467,14,1.0,25.0
84291,67,0.0,20.0
84697,69,1.0,0.0
87113,59,1.0,0.0
88212,76,0.0,21.0
89431,72,0.0,12.0
89822,67,0.0,22.0
89814,24,1.0,23.0
89864,12,0.0,21.0
90001,53,1.0,16.0
89967,81,0.0,14.0
90363,71,1.0,0.0
90323,76,1.0,0.0
90464,41,1.0,23.0
90659,83,0.0,17.0
91221,74,1.0,0.0
92886,66,0.0,22.0
93104,12,1.0,21.0
93606,59,0.0,21.0
93608,60,1.0,21.0
93584,57,1.0,21.0
93927,12,1.0,18.0
94558,21,0.0,24.0
95731,72,1.0,0.0
95750,17,1.0,0.0
95913,12,1.0,20.0
96098,48,1.0,20.0
96132,48,1.0,20.0
96252,67,1.0,20.0
97495,60,0.0,0.0
97452,14,0.0,24.0
97672,12,0.0,24.0
97850,26,1.0,16.0
97896,69,0.0,22.0
98011,66,1.0,21.0
98049,59,0.0,19.0
98295,71,0.0,20.0
98653,69,0.0,0.0
99293,12,1.0,0.0
99379,17,1.0,20.0
99283,59,0.0,0.0
99454,62,0.0,0.0
99455,72,1.0,17.0
99648,60,0.0,19.0
99680,62,1.0,19.0
99762,67,0.0,24.0
99949,71,1.0,21.0
100236,12,1.0,36.0
100426,91,0.0,0.0
100926,69,1.0,22.0
101625,72,0.0,17.0
102441,86,1.0,21.0
102956,76,1.0,19.0
102994,50,1.0,21.0
103968,21,0.0,26.0
104918,71,1.0,25.0
105008,72,0.0,24.0
106016,12,0.0,19.0
106236,12,0.0,24.0
107465,55,1.0,0.0
107567,59,0.0,21.0
107803,26,0.0,0.0
108944,64,1.0,26.0
110919,64,0.0,0.0
111544,67,1.0,0.0
112362,59,0.0,0.0
113990,38,0.0,19.0
114181,60,0.0,21.0
114137,36,0.0,18.0
114140,64,0.0,21.0
114142,69,0.0,20.0
