source,target
6249,107465
6249,114179
6249,124529
6249,132621
6249,278666
6249,278774
6249,334380
6249,367244
6249,390634
6249,452792
6249,861105
6249,964289
6914,153079
6920,51474
6920,90363
6920,97850
6920,107465
6920,124529
6920,129758
6920,133695
6920,148802
6920,153087
6920,171629
6920,180766
6920,182217
6920,186232
6920,212499
6920,212724
6920,212889
6920,223108
6920,245141
6920,261076
6920,334421
6920,334483
6920,410796
6920,444500
6920,444633
6920,444496
6920,503233
6920,641192
6920,658225
6920,672753
6920,765858
8520,112362
8520,205106
8520,212961
8520,306703
8520,334379
8520,395902
8520,396154
8520,400239
8520,416713
8520,417721
8520,817223
8520,978817
9346,153232
9346,287631
9346,288314
9346,539748
9346,595493
9346,639910
9346,847288
9346,916428
10213,96132
10213,212722
10213,212726
10213,212727
10213,129629
10213,212819
10213,211305
10213,212899
10213,185032
10213,212325
10213,205294
10213,213112
10213,212725
10213,212895
10213,101625
10213,212675
10213,45174
10213,212590
10213,212510
10213,212996
10213,213070
10213,115329
10213,213195
10213,212774
10213,213116
10213,89814
10213,212993
10213,212674
10213,94558
10213,64139
10213,113990
10213,56687
10213,212898
10213,80173
10213,116501
10213,197341
10213,117701
10213,104918
10213,72071
10213,212889
10213,212814
10213,212962
10213,90363
10213,212817
10213,212960
10213,189687
10213,185037
10213,186232
10465,215534
10465,215545
13380,255254
13380,248610
13380,18566
13380,255263
13380,255211
13380,131952
13632,55626
13632,84697
13632,96252
13632,194390
13632,196257
13632,212500
13632,212774
13632,213069
13632,214609
13632,244400
13632,252622
13632,255211
13632,292555
13632,301514
13632,306703
13632,306747
13632,309653
13632,316462
13632,316422
13632,324899
13632,328173
13632,328373
13632,409988
13632,418197
13632,444636
13632,472404
13632,494755
13632,560502
13632,595485
13632,699447
13632,725172
13632,777476
13632,786586
13632,806911
13632,853247
13632,856684
14210,66296
14210,84697
14210,93608
14210,212770
14210,246194
14210,251474
14210,316638
14210,327809
14210,327966
14210,328335
14210,373130
14210,398271
14210,605277
14210,772460
14210,830011
18566,13380
18566,309655
18566,213070
18566,309652
18566,310499
18566,310500
20235,10213
20235,175065
20235,327937
20235,327966
20235,327734
20235,160185
20235,105008
20235,78067
20235,327682
20235,89822
20235,135682
20235,251474
20235,317640
20235,178119
20235,312224
20235,327967
20235,327809
20235,278734
20235,327671
20235,327808
20235,35386
20235,210834
20235,138814
20235,328131
20235,328132
20235,328133
20235,278700
20235,298810
20235,328134
20235,328136
20235,93104
20235,155530
20235,128373
20235,226314
20235,328165
20235,328166
20235,328167
20235,328168
20235,328170
20235,117019
20235,114140
20235,328173
20235,328174
20235,328175
20235,328177
20235,257912
20235,14210
20235,155255
20235,97896
20235,169473
20235,328228
20235,328229
20235,328230
20235,328232
20235,93584
20235,328234
20235,306703
20235,328236
20235,328237
20235,328238
20235,28960
20235,122554
20235,328287
20235,328288
20235,153638
20235,116362
20235,313388
20235,199477
20235,328289
20235,270127
20235,274470
20235,328290
20235,328291
20235,212816
20235,114179
20235,328326
20235,328327
20235,328328
20235,132679
20235,241266
20235,169145
20235,213115
20235,38705
20235,328329
20235,328330
20235,328331
20235,328332
20235,328333
20235,328334
20235,328335
20235,328368
20235,153123
20235,303522
20235,99949
20235,328371
20235,42548
20235,213195
20235,328373
20235,328374
20742,329784
20742,329785
20742,44872
20742,329799
20742,329661
20742,329848
20742,313388
21201,334463
21201,168811
21201,278692
21201,334464
21201,279200
21201,212819
21201,174075
21201,213112
21201,334485
21201,212895
21201,42787
21201,334382
21201,278769
21201,334515
21201,334486
21201,278763
21201,334511
21201,46571
21201,93584
21201,324809
21201,328290
21201,334512
21201,334483
21201,80173
21201,211702
21201,334427
21201,328289
21201,184863
21201,212995
21201,197341
21201,334466
21201,51474
21201,212817
21201,334487
21201,334461
21201,46407
21201,146693
21201,334222
21201,196257
21201,242621
21201,335038
21201,317944
21201,129629
21201,335039
21201,335040
21201,335042
22809,29848
22809,88212
22809,89864
22809,93608
22809,114378
22809,117254
22809,117701
22809,138064
22809,148802
22809,162906
22809,181228
22809,184187
22809,185164
22809,196984
22809,204980
22809,206525
22809,212889
22809,275010
22809,278039
22809,278776
22809,292555
22809,314135
22809,324899
22809,327734
22809,328131
22809,328132
22809,328289
22809,334379
22809,335040
22809,358195
22809,400270
22809,418167
22809,418374
22809,418675
22809,444633
22809,444636
22809,474571
22809,474988
22809,498786
22809,507229
22809,539526
22809,541473
22809,543906
22809,547281
22809,557133
22809,605277
22809,605368
22809,663138
22809,687821
22809,703121
22809,701925
22809,725125
22809,725169
22809,744457
22809,744833
22809,792897
22809,807380
22809,914380
22809,1226484
23606,21201
23606,165906
23606,90363
23606,146649
23606,364648
23606,364074
23606,175065
23606,174487
23606,212590
23606,364688
23606,314904
23606,114179
23606,28921
23606,153636
23606,212503
23606,252880
23606,325191
23606,212995
23606,116362
23606,334512
23606,354356
23606,364731
23606,116501
23606,58063
23606,311981
23606,135136
23606,334463
23606,364813
23606,93584
23606,252901
28203,10213
28203,28206
28203,35386
28203,49160
28203,89822
28203,98049
28203,114179
28203,153129
28203,164174
28203,169473
28203,212770
28203,212819
28203,212997
28203,228926
28203,305749
28203,312224
28203,327966
28203,328174
28203,328237
28203,328288
28203,328291
28203,334379
28203,354356
28203,373130
28203,390677
28203,399663
28203,400278
28203,407698
28203,678244
28203,726326
28203,776198
28203,1105233
28206,373130
28206,87113
28206,212770
28206,400345
28206,328174
28206,28203
28206,400347
28206,400278
28206,89822
28206,400270
28206,357459
28206,35386
28206,400273
28206,93584
28206,400284
28206,400344
28206,197719
28206,399495
28206,400531
28206,312224
28921,23606
28921,96252
28921,212726
28921,212727
28921,212770
28921,302047
28921,278693
28921,411002
28921,410945
28921,354356
28921,305749
28921,410293
28921,216236
28921,114378
28921,212500
28921,174487
28921,183139
28921,411062
28921,410932
28921,327682
28921,355707
28921,257523
28921,257360
28921,328334
28921,411000
28921,72129
28921,410930
28921,410796
28921,411003
28921,116501
28921,212995
28921,197341
