user_id,completion_percentage,gender,AGE
1696,12,1.0,18.0
1816,14,1.0,0.0
2361,67,0.0,17.0
2281,62,1.0,22.0
2963,69,1.0,24.0
3159,84,0.0,17.0
3202,12,0.0,24.0
4105,55,1.0,0.0
5065,60,1.0,29.0
5066,71,0.0,0.0
5067,69,1.0,26.0
6304,67,0.0,21.0
6444,45,0.0,0.0
6738,14,0.0,23.0
6762,69,0.0,19.0
7728,29,1.0,15.0
7719,45,0.0,0.0
8519,40,0.0,32.0
8923,60,1.0,21.0
9126,78,1.0,0.0
9303,57,1.0,29.0
9308,71,1.0,27.0
9296,16,1.0,0.0
10038,72,1.0,21.0
10046,81,1.0,34.0
10121,83,0.0,0.0
10715,66,0.0,23.0
10648,69,0.0,0.0
11134,90,1.0,19.0
11305,76,1.0,25.0
11310,53,0.0,24.0
11710,71,1.0,23.0
12114,71,1.0,24.0
12120,50,1.0,31.0
12364,12,1.0,33.0
12403,12,0.0,0.0
12597,12,0.0,20.0
12836,33,0.0,0.0
13127,12,1.0,26.0
13373,12,0.0,0.0
13617,19,1.0,0.0
14470,64,1.0,28.0
14473,12,0.0,29.0
14310,76,0.0,26.0
14837,55,1.0,20.0
14833,55,1.0,19.0
15018,12,1.0,0.0
15831,64,1.0,30.0
17061,53,1.0,21.0
17566,72,1.0,21.0
17468,67,1.0,22.0
17382,78,1.0,21.0
17649,74,1.0,25.0
18137,50,1.0,22.0
18703,76,0.0,0.0
18843,71,1.0,26.0
18925,12,1.0,26.0
19249,45,1.0,24.0
19253,14,0.0,0.0
20234,59,1.0,20.0
20611,78,1.0,18.0
20574,53,1.0,25.0
20681,12,0.0,0.0
20996,26,1.0,40.0
21248,79,0.0,0.0
22949,48,1.0,17.0
23106,67,0.0,0.0
23341,67,1.0,0.0
23265,84,0.0,19.0
23827,43,1.0,23.0
24386,67,1.0,23.0
25012,66,1.0,17.0
25577,16,1.0,22.0
26976,66,1.0,24.0
27091,12,0.0,0.0
27268,60,0.0,0.0
27552,43,0.0,12.0
27632,62,1.0,19.0
27475,47,1.0,20.0
27958,12,1.0,0.0
28131,95,0.0,16.0
28214,38,0.0,25.0
28607,67,0.0,20.0
28666,14,1.0,39.0
28588,62,1.0,25.0
28897,69,1.0,0.0
29135,74,1.0,30.0
29305,12,0.0,20.0
29219,90,0.0,17.0
29460,59,0.0,25.0
29515,14,0.0,20.0
29988,43,1.0,23.0
30063,67,1.0,21.0
30177,76,0.0,20.0
30656,12,0.0,19.0
30735,84,1.0,18.0
31004,69,0.0,15.0
31476,81,1.0,13.0
31479,53,0.0,0.0
31481,62,1.0,26.0
31631,71,0.0,18.0
32196,40,0.0,0.0
32346,67,0.0,25.0
32566,52,0.0,25.0
32673,12,1.0,28.0
32701,79,1.0,21.0
32798,71,0.0,0.0
32892,81,1.0,18.0
