source,target
1696,43714
1696,43638
1696,43711
1696,43655
1696,43653
1696,43651
1696,43635
1696,43707
1696,43658
1696,43657
1696,43636
1696,43719
1696,43639
1696,43761
1696,43725
1696,43641
1696,43646
1696,43767
1696,43766
1696,43640
1696,43647
1696,43645
1696,43644
1696,43634
1696,43720
1696,43643
1696,43724
1696,43716
1696,43717
1696,43762
1696,1816
1696,43760
1696,43759
1696,43723
1696,43718
1696,44053
1696,44054
1696,44055
1816,1696
1816,43655
1816,43641
1816,43759
1816,43657
1816,43718
1816,43760
1816,43766
1816,43725
1816,195742
1816,368794
1816,419891
1816,546977
1816,547065
1816,550339
2281,35004
2281,48673
2281,61663
2281,153055
2281,158331
2281,294531
2281,305085
2281,469455
2281,637955
2281,1006945
2361,9126
2361,11134
2361,43720
2361,44625
2361,48789
2361,65091
2361,98418
2361,98199
2361,118532
2361,120276
2361,141518
2361,143046
2361,155035
2361,155784
2361,162609
2361,190764
2361,195747
2361,214410
2361,239095
2361,253478
2361,273371
2361,337136
2361,384505
2361,401218
2361,407307
2361,428586
2361,443391
2361,455241
2361,458248
2361,458451
2361,470118
2361,482607
2361,501613
2361,548582
2361,558060
2361,558892
2361,581519
2361,591322
2361,754972
2361,847747
2361,920689
2361,920692
2963,231887
2963,456684
2963,548087
2963,586855
2963,648894
2963,858584
2963,1131565
3159,80075
3159,98317
3159,98324
3159,118532
3159,140629
3159,190610
3159,219674
3159,394510
3159,395781
3159,403509
3159,445549
3159,459320
3159,493083
3202,352819
3202,698291
3202,831685
3202,853754
3202,1130139
3202,1508961
4105,96741
4105,98330
4105,98416
4105,98317
4105,98413
4105,98331
4105,98421
4105,98506
4105,98315
4105,98411
4105,98323
4105,98326
4105,61481
4105,98325
4105,98517
4105,98510
4105,98209
4105,98407
4105,98332
4105,98404
4105,39686
4105,98401
4105,98410
4105,98406
4105,98324
4105,98408
4105,98409
4105,97060
4105,98206
4105,98320
4105,97843
4105,98334
4105,98402
4105,90301
4105,98328
4105,98508
4105,96955
4105,98512
4105,98515
4105,95754
4105,98204
4105,98514
4105,98319
4105,97845
4105,53421
4105,98721
4105,98722
4105,98723
4105,98724
4105,98781
4105,98782
4105,98785
4105,98786
4105,98788
4105,98790
4105,98791
4105,98792
4105,98793
4105,98794
4105,96735
4105,98795
4105,98796
4105,98797
4105,98798
4105,98799
4105,98800
4105,98801
4105,98897
4105,11134
4105,98899
4105,98901
4105,98905
4105,98907
4105,98908
4105,98911
4105,98913
4105,98915
4105,98917
4105,98919
4105,98920
4105,98993
4105,98994
4105,98995
4105,98996
4105,98997
4105,98998
4105,98999
4105,99000
4105,54131
4105,99002
4105,99003
4105,96474
4105,99004
4105,99005
4105,99006
4105,99007
4105,99009
4105,93550
4105,99074
4105,99075
4105,99076
4105,99077
4105,99078
4105,99081
4105,99083
4105,99085
4105,99086
4105,99087
4105,99088
4105,99089
4105,99090
4105,99091
4105,99092
4105,99093
4105,99094
4105,37626
4105,99123
4105,78998
4105,99125
5065,5066
5065,5067
5065,82094
5065,116663
5065,118337
5065,118340
5065,118549
5065,118534
5065,118456
5065,118596
5065,118599
5065,118381
5065,196344
5065,214318
5065,440421
5065,641587
5065,643507
5065,750702
5065,796440
5065,848016
5066,5067
5066,53432
5066,116170
5066,116176
5066,214318
5066,395280
5066,589971
5066,915168
5067,5066
5067,118384
5067,118385
5067,118382
5067,118381
5067,118342
5067,118548
5067,118332
5067,118386
5067,118448
5067,118449
5067,118336
5067,118391
5067,118387
5067,118233
5067,118329
5067,5065
5067,54116
5067,116663
5067,118542
5067,118545
5067,118389
5067,118597
5067,118334
5067,118330
5067,118340
5067,118532
5067,118335
5067,118462
5067,118539
5067,118549
5067,118454
5067,97052
5067,118541
5067,118599
5067,118331
5067,118457
5067,118379
5067,118380
5067,118601
5067,118388
5067,118596
5067,118534
5067,118598
5067,116176
5067,118447
5067,118328
5067,118544
5067,118460
5067,118459
5067,118101
5067,118455
5067,118458
5067,118529
5067,118533
5067,118451
5067,82094
5067,118453
5067,118338
5067,118450
5067,118543
5067,118390
5067,38123
5067,118337
5067,118461
5067,12403
5067,118536
5067,118339
5067,118456
5067,18925
5067,118941
5067,118946
5067,118949
5067,118951
5067,118953
5067,118955
5067,118958
5067,118960
6304,138107
6304,138153
6304,138197
6304,138111
6304,138035
6304,138112
6304,138155
6304,138036
6304,138142
6304,138156
6304,138199
6304,138151
6444,66966
6444,86724
6444,98513
6444,153939
6444,231677
6444,287236
6444,428629
6444,514516
6444,573775
6444,606254
6444,644181
6444,858208
6444,1001585
6444,1001644
6444,1333519
6444,1333885
6738,193696
6738,327110
6738,534022
6738,779800
6762,37626
6762,67185
6762,103534
6762,103563
6762,103417
6762,103554
6762,103418
6762,103419
6762,103497
6762,103229
6762,103684
6762,103230
6762,103614
6762,153939
6762,228687
6762,235375
6762,239095
6762,240541
6762,268043
6762,310191
6762,310941
6762,329137
6762,335495
6762,335801
6762,337130
6762,342553
6762,395280
6762,401218
6762,455242
6762,459280
6762,548087
6762,548196
6762,549338
6762,744318
6762,843466
6762,853791
6762,861596
6762,873359
7719,73784
7719,198079
7719,304907
7719,547412
7719,548846
7719,573775
7719,606000
7719,780377
7719,780338
7719,877686
7719,1092042
7719,1306401
7719,1572998
7728,165487
7728,165491
7728,165488
7728,165492
7728,165486
7728,140793
7728,165595
7728,165664
7728,165744
7728,165751
7728,165753
8519,191888
8519,191898
8519,191896
8519,192019
8519,192021
8923,37626
8923,44625
8923,61663
8923,98200
8923,98999
8923,99497
8923,186792
8923,197977
8923,198302
8923,198548
8923,214322
8923,217517
8923,268142
8923,287236
8923,296221
8923,304640
8923,305066
8923,305661
8923,336025
8923,336095
8923,350513
8923,356928
8923,363076
8923,382114
8923,382931
8923,421928
8923,449901
8923,455242
8923,455221
8923,459268
8923,481006
8923,502182
8923,538448
8923,542306
8923,545985
8923,547575
8923,549646
8923,550351
8923,583009
8923,589248
8923,589600
8923,589620
8923,751693
8923,760921
8923,773243
8923,781954
8923,858800
8923,896142
8923,1221746
8923,1260319
8923,1396829
9126,22949
9126,38949
9126,43762
9126,43723
9126,44055
9126,44625
9126,53219
9126,73784
9126,86724
9126,98793
9126,98913
9126,98999
9126,99087
9126,100239
9126,101942
9126,140143
9126,153449
9126,162609
9126,195453
9126,195514
9126,195574
9126,195575
9126,195517
9126,195460
9126,195570
9126,195742
9126,195743
9126,195645
9126,195747
9126,195817
9126,195750
9126,195819
9126,226961
9126,280644
9126,305066
9126,310188
9126,310195
9126,337826
9126,356834
9126,491308
9126,546048
9126,547939
9126,548221
9126,559623
9126,606241
9126,853040
9126,1143884
9296,478375
9296,561125
9296,581130
9303,196169
9303,196280
9303,196172
9303,196174
9303,44881
9303,196176
9303,52268
9303,196352
9303,196342
9303,196327
9303,196344
9303,196163
9303,196266
9303,196175
9303,196162
9303,196275
9303,196267
9303,196274
9303,193543
9303,196165
9303,196168
9303,196282
9303,196166
9303,196277
9303,196276
9303,196284
9303,196333
9303,196347
9303,196348
9303,196335
9303,196336
9303,196270
9303,103498
9303,196331
9303,195510
9303,56554
9303,196350
9303,196269
9303,193558
9303,196479
9303,196575
9308,47823
9308,276736
9308,284338
9308,391291
9308,536941
9308,546091
9308,581145
9308,858370
9308,961049
10038,5066
10038,43391
10038,53469
10038,73602
10038,118339
10038,153449
10038,195574
10038,196162
10038,198079
10038,202219
10038,226961
10038,251539
10038,257072
10038,305081
10038,331453
10038,383973
10038,394781
10038,529670
10038,546673
10038,547333
10038,551250
10038,578499
10038,589971
10038,622994
10038,702398
10038,782902
10038,792767
10038,854129
10038,981797
10038,1017874
10038,1029151
10046,47745
10046,231750
10046,250287
10046,267875
10046,598749
10046,598806
10046,609719
10046,663610
10046,725618
10046,826204
10046,1005755
10046,1144608
10046,1604837
10046,1630251
10121,212071
10121,212052
10121,211997
10121,212058
10121,212004
10121,211956
10121,212060
10121,212063
10121,212069
10121,212067
10121,212064
10121,212056
10121,203672
10121,212068
10121,212044
10121,212390
10121,212392
10121,212396
10121,212398
10121,212399
10121,212401
10121,212440
10121,212441
10121,212443
10121,212444
10648,219569
10648,219609
10648,219676
10648,219674
10648,219568
10648,219680
10648,133762
10648,219605
10648,219607
10648,219614
10648,105484
10648,219677
10648,53193
10648,219603
10648,219618
10648,219615
10648,219776
10648,219828
10648,219831
10648,219833
10648,219834
10648,219837
10715,68971
10715,91296
10715,103417
10715,103614
10715,118461
10715,146140
10715,158331
10715,268043
10715,306409
10715,309843
10715,309755
10715,310941
10715,343036
10715,387487
10715,390002
10715,391234
10715,502078
10715,549863
10715,558869
10715,581519
10715,581638
10715,592455
10715,593063
10715,615029
10715,744320
10715,819098
10715,823516
10715,860989
10715,873459
10715,915742
10715,916226
10715,916790
10715,928878
10715,985106
10715,1092938
10715,1124835
10715,1230580
10715,1386558
11134,98515
11134,223110
11134,222915
11134,223025
11134,223115
11134,96728
11134,223117
11134,195526
11134,223119
11134,223191
11134,98323
11134,222995
11134,96472
11134,222998
11134,222988
11134,222996
11134,222999
11134,138959
11134,223001
11134,216898
11134,222986
11134,96399
