user_id,completion_percentage,gender,AGE
1,14,1.0,26.0
5,66,1.0,26.0
6,22,0.0,38.0
34,66,1.0,23.0
61,12,0.0,23.0
38,12,1.0,22.0
50,43,0.0,0.0
39,29,1.0,18.0
27,72,1.0,23.0
41,69,1.0,16.0
77,31,1.0,23.0
42,40,1.0,22.0
66,28,0.0,0.0
91,43,1.0,23.0
67,72,1.0,23.0
95,14,1.0,23.0
98,43,0.0,0.0
122,12,1.0,0.0
109,14,0.0,0.0
123,31,1.0,21.0
136,48,1.0,22.0
87,17,1.0,23.0
88,12,0.0,18.0
101,86,1.0,20.0
15,53,1.0,26.0
141,66,0.0,23.0
170,12,0.0,19.0
120,12,1.0,0.0
178,33,0.0,23.0
73,14,0.0,18.0
241,66,0.0,21.0
256,69,1.0,24.0
287,12,1.0,0.0
261,59,1.0,25.0
263,67,1.0,18.0
197,62,1.0,22.0
184,12,1.0,25.0
301,43,1.0,0.0
302,33,1.0,24.0
187,41,0.0,22.0
188,12,0.0,26.0
305,31,1.0,27.0
191,48,1.0,23.0
238,67,0.0,19.0
296,62,0.0,0.0
297,59,1.0,35.0
376,14,0.0,21.0
300,69,1.0,19.0
306,62,1.0,25.0
436,64,0.0,27.0
252,12,0.0,22.0
496,72,0.0,0.0
449,76,0.0,0.0
460,12,0.0,21.0
469,52,0.0,20.0
497,16,0.0,19.0
526,60,0.0,19.0
498,66,1.0,16.0
517,16,0.0,20.0
528,69,0.0,0.0
499,66,0.0,20.0
520,72,0.0,19.0
486,47,0.0,19.0
521,66,0.0,17.0
501,59,0.0,0.0
532,48,0.0,0.0
488,67,0.0,20.0
533,81,0.0,21.0
502,71,0.0,19.0
489,72,0.0,19.0
536,12,1.0,0.0
505,67,1.0,24.0
537,76,1.0,0.0
506,79,0.0,20.0
522,69,0.0,18.0
508,31,0.0,19.0
492,50,0.0,18.0
493,53,0.0,19.0
525,69,0.0,20.0
510,72,0.0,20.0
541,19,0.0,17.0
542,12,0.0,20.0
572,12,0.0,21.0
544,72,0.0,0.0
559,69,0.0,18.0
573,62,0.0,0.0
602,29,0.0,23.0
575,66,0.0,19.0
547,16,0.0,0.0
548,62,1.0,17.0
604,72,0.0,20.0
577,59,0.0,0.0
578,16,0.0,0.0
426,64,0.0,0.0
549,12,0.0,16.0
579,17,0.0,22.0
580,28,0.0,0.0
427,60,0.0,21.0
550,29,0.0,0.0
560,76,0.0,0.0
539,21,0.0,20.0
540,43,0.0,20.0
561,14,0.0,24.0
562,19,0.0,0.0
553,36,0.0,19.0
619,69,0.0,20.0
477,71,0.0,19.0
632,60,0.0,0.0
478,28,0.0,0.0
621,59,1.0,23.0
583,71,0.0,21.0
633,59,0.0,0.0
434,71,1.0,22.0
480,76,0.0,18.0
648,38,1.0,20.0
622,41,0.0,20.0
565,17,1.0,21.0
584,12,0.0,23.0
623,16,0.0,0.0
676,53,0.0,19.0
649,60,0.0,0.0
677,69,0.0,20.0
568,55,0.0,0.0
635,19,0.0,20.0
650,38,0.0,20.0
569,67,0.0,0.0
667,66,0.0,0.0
680,43,0.0,19.0
587,59,0.0,19.0
637,71,0.0,0.0
652,12,0.0,0.0
570,12,0.0,0.0
653,22,0.0,19.0
588,59,0.0,23.0
589,71,0.0,20.0
640,84,0.0,18.0
641,12,1.0,21.0
607,60,0.0,20.0
592,62,1.0,21.0
644,59,0.0,18.0
608,67,0.0,20.0
645,79,0.0,0.0
609,22,0.0,0.0
594,66,0.0,21.0
611,78,0.0,22.0
595,72,1.0,19.0
615,34,0.0,20.0
694,28,0.0,0.0
597,62,0.0,19.0
627,66,1.0,22.0
585,67,0.0,21.0
695,69,0.0,0.0
669,50,0.0,0.0
696,67,1.0,26.0
670,21,0.0,20.0
629,12,0.0,19.0
672,50,0.0,21.0
599,12,0.0,19.0
673,14,0.0,0.0
684,67,0.0,20.0
754,71,1.0,20.0
782,69,1.0,0.0
755,69,0.0,20.0
783,64,1.0,26.0
686,69,0.0,18.0
784,66,0.0,18.0
703,12,0.0,0.0
659,57,0.0,20.0
785,36,1.0,0.0
687,55,0.0,19.0
758,69,1.0,24.0
660,64,1.0,21.0
705,22,0.0,17.0
811,64,0.0,23.0
797,48,1.0,21.0
813,64,0.0,20.0
727,12,1.0,0.0
728,69,1.0,26.0
816,12,1.0,25.0
828,12,1.0,24.0
718,74,0.0,22.0
817,53,1.0,21.0
719,69,0.0,22.0
830,78,0.0,23.0
820,76,0.0,21.0
842,69,1.0,23.0
740,28,0.0,21.0
843,53,1.0,24.0
844,53,0.0,0.0
856,12,1.0,21.0
871,69,0.0,30.0
848,52,1.0,18.0
872,59,0.0,21.0
873,81,0.0,19.0
849,72,1.0,18.0
837,67,1.0,0.0
874,12,1.0,26.0
798,55,0.0,22.0
862,66,0.0,21.0
875,57,0.0,21.0
838,60,1.0,21.0
799,60,1.0,21.0
851,33,1.0,25.0
839,62,1.0,0.0
840,74,1.0,0.0
763,60,0.0,0.0
770,52,0.0,22.0
801,72,1.0,21.0
865,14,1.0,27.0
852,41,1.0,0.0
764,14,1.0,0.0
877,12,1.0,23.0
866,29,0.0,18.0
878,86,0.0,0.0
771,48,0.0,20.0
803,62,0.0,21.0
888,66,1.0,0.0
879,69,1.0,21.0
901,69,1.0,22.0
916,67,1.0,0.0
804,66,1.0,27.0
889,22,0.0,0.0
880,19,0.0,21.0
902,59,1.0,0.0
931,60,0.0,0.0
869,79,0.0,20.0
882,22,1.0,26.0
932,76,0.0,23.0
806,12,0.0,22.0
855,69,1.0,0.0
891,76,0.0,20.0
883,53,1.0,0.0
892,59,1.0,18.0
733,55,1.0,0.0
947,50,0.0,20.0
919,12,0.0,21.0
808,76,1.0,21.0
935,36,1.0,23.0
920,53,0.0,20.0
948,62,1.0,24.0
921,66,0.0,21.0
936,62,1.0,22.0
772,12,1.0,23.0
949,57,1.0,19.0
773,71,0.0,21.0
938,19,0.0,18.0
951,64,0.0,20.0
939,12,1.0,0.0
940,14,1.0,22.0
923,12,0.0,0.0
941,12,1.0,23.0
884,66,1.0,19.0
942,71,1.0,20.0
954,60,1.0,0.0
943,66,0.0,20.0
894,64,0.0,22.0
750,26,1.0,20.0
885,71,1.0,23.0
925,67,1.0,23.0
895,33,0.0,0.0
992,52,1.0,0.0
897,67,1.0,0.0
927,59,1.0,22.0
898,34,1.0,23.0
900,64,0.0,20.0
972,40,1.0,0.0
1010,26,0.0,0.0
903,12,0.0,21.0
870,12,0.0,20.0
904,66,1.0,0.0
905,29,0.0,0.0
1024,50,0.0,0.0
989,47,1.0,19.0
907,57,1.0,0.0
1038,76,1.0,20.0
908,43,1.0,18.0
1039,52,0.0,0.0
1016,43,1.0,18.0
1055,69,1.0,21.0
909,12,0.0,0.0
910,22,0.0,20.0
1069,59,1.0,23.0
911,14,0.0,0.0
1083,12,1.0,23.0
956,47,1.0,30.0
914,57,0.0,21.0
1096,53,1.0,0.0
915,14,0.0,22.0
957,74,0.0,21.0
1032,71,1.0,17.0
1073,84,1.0,20.0
1061,53,1.0,21.0
958,22,1.0,22.0
1126,12,0.0,24.0
1087,62,0.0,20.0
1074,12,0.0,18.0
945,12,0.0,0.0
1049,45,0.0,24.0
1157,12,0.0,20.0
1115,62,0.0,24.0
1116,33,1.0,33.0
1103,69,1.0,24.0
1104,45,0.0,24.0
1160,57,0.0,25.0
1109,53,0.0,0.0
1164,64,1.0,22.0
1144,12,0.0,16.0
929,62,1.0,0.0
930,69,0.0,21.0
1247,64,0.0,23.0
1232,72,0.0,22.0
1248,48,1.0,24.0
1219,66,0.0,18.0
1249,53,1.0,22.0
