,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2,2,2,2,1,1,2,0,1,1,2,1,1,2,1,2,3,2,2,1,3,2,2,3,2,1,2,3,2,3,2
1,2,3,1,3,2,2,2,1,2,1,2,1,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,3
2,3,3,3,1,2,2,2,3,3,2,3,2,3,3,1,3,2,1,1,2,2,2,2,3,2,1,3,2,1,3,3
3,2,3,3,2,1,1,2,2,2,1,2,3,1,2,1,3,2,2,1,2,2,1,3,2,1,3,2,3,2,3,1
4,2,1,2,2,2,1,2,2,2,2,2,2,2,3,2,1,2,1,3,2,2,2,3,1,2,2,1,2,3,2,3
5,0,0,1,2,2,3,2,1,2,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,1,2
6,3,3,2,3,2,3,2,2,2,2,0,0,2,2,3,2,2,3,3,3,3,3,2,3,2,2,3,2,2,3,2
7,2,3,3,3,2,2,3,2,3,2,3,3,2,2,1,2,3,2,1,2,3,3,2,3,0,2,3,2,2,2,1
8,2,2,3,2,3,3,2,2,2,1,2,3,0,3,3,2,1,3,3,3,1,2,2,2,2,2,1,2,2,1,2
9,2,2,2,2,2,2,3,2,0,2,2,2,2,1,1,2,3,2,2,2,3,0,2,3,2,2,2,2,3,3,3
10,2,1,3,3,2,2,3,2,2,1,1,2,2,2,2,1,2,2,2,2,2,3,3,2,2,2,2,3,2,3,2
11,0,0,0,0,0,0,0,0,0,2,3,3,3,2,3,2,2,1,3,2,2,3,2,3,1,2,3,2,3,3,1
12,2,2,2,1,2,1,3,1,2,0,1,1,2,2,2,3,2,2,3,2,3,2,2,2,1,3,1,2,3,1,2
13,2,2,2,3,2,2,2,1,1,3,2,3,1,2,2,1,1,0,2,1,1,2,2,2,1,1,1,2,2,2,2
14,2,3,3,1,2,2,1,2,3,3,3,2,3,2,2,2,3,2,2,2,0,2,3,2,2,3,2,3,2,2,2
15,2,2,2,2,2,2,2,2,0,1,1,2,1,2,2,2,1,2,2,2,3,2,2,2,3,1,3,0,0,2,1
16,0,0,0,2,3,2,2,3,2,2,2,3,3,1,1,3,2,1,2,2,1,2,2,1,2,1,3,3,3,2,3
17,2,1,2,2,2,2,3,2,2,3,3,2,2,3,3,1,2,2,2,2,1,2,3,2,1,3,2,1,2,0,1
