,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2,2,3,3,1,1,2,2,3,0,0,0,0,2,2,1,3,1,3,2,3,2,2,3,1,2,2,3,3,2,2
1,2,1,3,3,3,3,2,1,1,2,2,2,2,2,3,2,1,3,2,2,2,2,0,2,3,2,2,2,3,2,3
2,3,1,2,3,2,3,2,3,3,2,0,0,0,0,2,2,3,2,2,2,2,1,1,1,2,2,3,3,1,0,3
3,3,0,0,0,0,0,0,0,0,3,1,2,2,3,1,2,2,0,2,2,2,1,2,3,2,3,2,1,3,2,2
4,0,0,0,0,0,0,0,2,2,2,3,3,2,2,2,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,3
5,1,2,3,2,2,3,3,2,2,3,3,2,3,3,3,2,1,2,2,3,2,2,3,2,1,1,1,1,3,2,3
6,2,1,2,1,2,2,3,3,2,2,1,1,2,2,3,2,2,2,1,3,2,2,1,2,1,1,3,3,2,2,2
7,2,2,1,3,3,2,1,2,3,2,2,3,2,3,3,3,0,2,2,2,2,2,3,2,2,3,3,3,3,3,3
8,1,2,1,1,2,2,2,2,2,3,3,3,2,2,2,1,2,3,1,2,3,1,1,2,3,1,1,2,1,2,1
9,2,2,2,2,2,1,2,1,0,0,0,0,2,2,2,2,3,3,3,3,1,0,2,2,2,2,3,2,3,2,2
10,2,2,1,2,2,2,2,2,1,1,2,3,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2,1
11,3,0,2,2,3,2,1,1,2,3,2,1,1,2,2,2,3,2,1,3,2,3,2,3,2,3,3,2,2,3,2
12,2,3,2,1,3,2,3,2,2,3,1,2,2,3,2,1,2,3,3,1,2,0,3,3,2,3,2,3,3,2,2
13,2,2,3,2,0,2,2,1,2,2,3,2,1,2,2,1,3,1,2,2,2,2,2,1,3,3,1,2,2,1,2
14,2,1,2,3,2,2,2,3,3,2,1,2,3,3,1,1,2,2,1,2,3,2,2,3,2,3,1,2,2,3,1
15,2,2,3,3,2,3,3,2,2,3,2,3,1,2,2,3,3,3,2,2,1,1,2,3,3,1,1,3,2,2,0
16,2,2,1,1,3,2,1,1,2,3,2,3,2,2,3,2,3,2,2,2,3,2,3,3,3,2,3,2,2,1,3
17,2,2,3,3,2,2,1,2,1,2,2,3,3,3,3,3,3,3,3,2,0,2,1,1,1,2,2,2,1,1,1
18,2,2,2,3,1,2,2,2,3,1,2,0,1,2,2,1,2,1,2,3,1,3,3,2,2,3,2,1,3,1,2
19,0,3,2,2,3,2,2,3,3,0,3,3,2,2,3,3,2,2,2,3,3,2,3,3,2,2,2,1,3,2,2
20,2,2,1,2,2,3,2,3,2,2,2,1,3,1,2,2,2,2,2,1,1,2,1,1,1,3,2,2,2,2,3
21,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,3,1,2,2,1,3,2,2,2,2,2,2,2,2,1,2
22,3,2,1,3,3,1,2,2,2,1,2,3,3,2,1,3,2,2,1,2,2,2,3,1,2,2,2,2,1,2,3
23,3,3,3,2,2,2,2,2,3,2,1,3,1,2,2,3,3,0,2,2,2,2,3,3,2,2,2,2,1,1,2
24,3,2,1,2,3,2,3,3,2,1,1,2,3,3,3,3,2,1,2,2,2,1,0,1,3,2,1,3,3,1,2
25,3,3,2,2,0,3,3,1,2,2,2,3,3,2,2,3,1,2,2,1,2,3,1,3,2,0,0,0,0,0,0
26,2,2,3,2,2,1,2,2,3,3,3,3,3,1,3,2,3,2,3,3,3,2,3,3,2,2,3,2,1,3,1
27,2,1,1,3,2,1,3,0,1,2,2,2,2,1,2,2,2,2,1,1,0,2,1,3,2,3,2,2,2,2,2
28,0,0,0,0,2,2,2,1,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3,2,2,1,2,2,3,1,3
29,2,2,2,3,2,2,0,1,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,3,2,3,3,2,0,0,1
30,0,0,0,0,0,3,2,3,1,2,3,1,3,3,3,3,2,0,0,2,2,2,3,2,1,3,2,2,1,2,2
31,3,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,3,1,1,1,2,2,2
32,3,3,3,3,1,2,2,2,3,3,2,2,3,2,1,2,3,1,1,1,3,1,2,2,1,2,2,1,3,2,2
33,2,3,3,3,1,2,3,3,2,1,2,2,2,2,3,3,2,3,2,2,2,1,2,2,2,2,2,2,0,2,3
34,3,3,2,1,2,2,1,3,1,1,2,1,1,2,2,2,2,1,1,2,1,1,2,3,2,1,3,1,3,1,0
35,2,0,1,3,3,0,2,2,1,2,2,2,1,2,2,3,3,3,3,1,2,3,2,1,2,3,1,1,3,2,2
36,2,2,3,2,1,2,1,2,2,2,2,2,1,1,3,1,2,2,2,2,3,2,2,1,1,2,1,1,3,3,1
