,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,3,3,2,2,2,2,2,2,2
1,2,2,3,2,2,1,2,3,3,2,2,2,1,2,1,1,3,2,2,2,1,1,1,2,2,1,2,1,2,2,1
2,1,3,1,3,2,2,2,2,1,2,2,0,1,2,2,3,2,2,1,3,2,2,3,3,2,2,3,3,2,1,2
3,2,3,2,3,2,0,2,1,3,1,2,2,3,2,2,1,3,3,3,3,1,2,2,1,2,2,1,2,2,1,2
4,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,3,2,1,2,2,2,0,1,2,2,2,0,1,2
5,2,1,2,3,3,2,3,2,2,2,2,1,2,3,3,3,0,2,1,2,3,2,2,0,2,2,2,2,1,2,1
6,3,3,2,2,1,3,2,2,2,0,1,2,2,2,2,2,2,2,3,2,2,1,2,1,1,2,1,1,0,2,1
7,2,1,2,2,1,2,3,2,1,2,1,2,2,3,1,2,2,2,2,1,2,2,1,3,2,2,2,2,3,3,2
8,2,2,0,2,3,2,2,1,2,3,1,3,2,2,2,2,1,1,2,2,3,3,3,2,1,1,2,1,2,1,2
9,2,2,2,1,1,2,3,2,1,1,0,0,0,0,1,2,2,1,2,3,1,2,1,1,1,2,2,2,2,2,2
10,2,1,3,2,2,1,2,2,2,1,2,3,3,2,2,1,3,2,1,3,3,2,2,2,2,1,2,2,1,2,1
11,2,2,2,2,2,2,1,3,2,1,3,2,0,2,3,2,3,3,2,2,1,2,2,3,1,2,1,2,2,1,1
12,2,3,1,2,1,1,1,3,2,3,3,1,3,3,3,2,1,3,3,1,2,2,1,2,3,1,2,1,2,1,1
13,1,2,2,2,3,2,2,2,3,2,2,0,0,0,0,2,0,1,2,1,1,1,3,3,1,3,2,3,2,2,1
14,0,0,0,0,0,0,0,0,2,2,2,3,3,1,3,3,2,2,2,1,2,3,2,2,3,3,3,2,2,3,3
15,3,3,2,2,2,1,2,2,2,2,3,2,2,3,2,0,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1
16,3,2,1,2,1,1,3,2,2,1,1,2,2,2,2,0,2,1,2,2,2,1,2,1,2,0,3,3,1,0,1
17,2,1,2,2,3,3,2,0,2,3,3,3,1,1,2,1,1,2,2,1,2,2,1,3,2,1,2,1,2,2,2
18,2,3,3,2,1,3,2,2,1,2,2,2,2,1,2,1,2,1,1,2,2,3,2,2,1,2,1,1,3,3,3
19,0,1,2,3,3,1,2,2,2,2,2,2,1,3,3,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2
20,3,2,2,2,1,2,2,1,2,1,2,2,1,2,2,1,2,1,3,3,2,2,1,3,2,2,2,1,1,2,3
21,0,2,2,2,3,2,2,1,1,1,2,2,2,2,2,2,2,3,0,0,0,2,1,3,3,1,2,2,0,2,1
22,3,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,1,3,3,2,2,1,1,2,2,1,2,1,2,0
23,0,0,0,0,0,0,0,0,3,2,2,3,0,2,2,3,2,3,2,2,2,3,3,3,2,2,1,2,2,2,2
24,2,3,2,2,2,2,2,2,2,2,1,2,2,1,2,3,3,2,3,2,3,1,2,2,2,2,2,2,3,3,1
25,0,0,0,0,0,0,0,0,0,0,2,2,1,2,3,2,2,2,2,3,2,2,2,2,2,0,3,2,3,2,2
26,3,2,3,2,3,3,3,2,2,3,2,0,3,1,1,2,2,2,1,2,1,1,1,3,1,2,2,1,1,2,2
27,2,1,2,2,2,2,1,2,1,2,2,3,1,1,2,3,3,0,2,1,2,1,2,2,2,2,1,2,2,3,2
28,2,1,2,1,1,1,3,1,2,2,2,2,2,2,2,1,2,2,3,2,2,1,2,2,2,2,2,0,2,3,2
29,3,3,1,2,3,2,2,2,1,2,2,1,1,2,3,2,2,2,1,1,2,1,3,1,1,2,2,1,1,2,1
30,2,3,1,2,2,3,2,3,1,3,1,2,1,3,2,2,3,2,1,3,2,0,1,3,2,2,2,3,3,3,2
31,2,2,2,2,1,3,3,1,2,2,2,2,3,2,1,2,2,3,2,2,2,2,1,1,3,2,0,2,2,2,1
32,2,2,2,2,1,2,1,2,1,2,1,2,2,2,3,2,0,3,2,3,2,2,2,2,1,2,1,1,1,1,2
33,3,2,2,2,2,3,2,2,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
34,2,1,1,2,3,2,2,1,2,1,1,1,2,2,2,2,2,2,1,1,2,2,3,2,1,2,3,2,2,1,2
35,2,1,1,2,3,2,1,2,2,2,2,1,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,3,1,1,2
36,2,2,2,3,2,1,2,2,1,2,2,2,2,1,1,1,1,3,3,2,2,1,0,3,2,3,3,2,3,2,3
37,2,2,3,2,0,1,2,2,1,1,1,2,2,2,1,2,1,1,2,3,1,3,2,3,1,2,2,2,3,2,2
38,2,2,2,2,0,2,2,2,1,2,3,1,2,2,0,2,1,2,2,1,2,2,2,2,2,2,3,2,1,2,1
39,3,3,1,2,2,1,2,2,2,2,2,2,1,0,2,1,0,1,2,2,3,2,2,2,0,0,2,2,1,2,2
40,2,3,2,0,2,2,2,3,3,3,3,2,1,1,2,3,2,2,2,1,3,2,2,2,3,3,2,2,2,3,3
